"","id","model","price","kilometer","registration_date","condition","zip_code","text","place"
"22","1175071369","Benzin","4.000€","148.000","2010","Euro6","81375","                    Frische TÜV, Winterreifen, Navi, rückwärtscamera, lederlenkrad.Gibts kleine Schäden (Foto)","81375München-Hadern"
"24","1177073659","Kleinwagen","300€","140.000","1994","2019","82049","                    Bitte ein Auto (VW Polo) zum Verkauf an. Dieses Auto hat mir lange Jahre gute Dienste bereitet und da ich nun zwei Kinder habe muss ich mich von ihm trennen. Der TÜV läuft diesen Monat, die Windschutzscheibe ist beschädigt und die beiden Außenspiegel sind von irgendwelchen betrunkenen Jugendlichen abgeschlagen worden. Da ich glaube dass es sehr aufwändiges ist diesen nochmal herzurichten um Ihn noch einmal durch den TÜV zu bekommen, ist wohl seine neue Bestimmung das Ausschlachten. Daher der geringe Preis… Ich freu mich über euren Kontakt und bis bald…","82049Bayern-Pullach"
"25","1177439981","Kleinwagen","2.280€","149.770","2003","10","85635","                    Biete hier den Polo von meinem Schwiegervater zum Verkauf an.Motor/Getriebe/Kupplung einwandfrei, voll fahrbereit.Grüne Umweltplakette.8-fach bereift, Sommerreifen auf original VW Alufelgen.Fahrzeug hat fast Vollausstattung.TempomatKlimaanlageSitzheizungServolenkungelektrische/beheizbare Aussenspiegelelektrische Fensterheber vorne & hintenAlarmanlageBlaupunkt Radio mit CD/AUX/USBFahrer- und Beifahrersitz höhenverstellbarZentralverriegelung mit Fernbedienungusw.Das Auto ist seit 2007 in Familienbesitz, Scheckheft bis 2016.Hat noch TÜV bis Oktober, wird wegen Neuanschaffung verkauft.Ist natürlich kein Neuwagen, ein paar Mängel sind vorhanden.Ist noch ein paar Tage angemeldet.Preis ist Verhandlungssache, macht mir ein Angebot.Bei Fragen einfach schreiben.","85635Kr.München-Höhenkirchen-Siegertsbrunn"
"26","1177404688","Limousine","950€","215.555","2000","11","Munch","                    Auto in gutem Zustand10/2000Tuv 11/2020215.000kmPreis:1000euro--Wir können noch arrangieren","Munchenerstrasse5,85643Bayern-Steinhöring"
"27","1176829122","Kleinwagen","1.550€","174.000","2004","08","86559","                    Verkaufe hier meinen stets zuverlässigen VW Polo aufgrund Familienzuwachs.Das Fahrzeug läuft ohne jegliche Probleme.Anbei eine Auflistung der Reparaturen die durchgeführt wurden:- Bremsen vorne (Scheiben und Belege siehe Bilder) sowie hinten komplett neu- 4 neue Fahrwerksfedern von der Firma ST- Winterreifen auf Stahlfelgen / Sommerreifen auf Alufelgen- neue Scheibenwischer (Firma Bosch) hinten und vorne- Klimaautomatik ( wurde vor 3 Wochen erst neu befüllt)- neue Steuerkette sowie neue Führungsschienen und Kettenspanner wurden 09/2018 erneuert(Rechnung kann gerne bei Besichtigung angeschaut werden)- Service ( Zündkerzen, Motoröl Service sowie alle Filter und Bremsflüssigkeit) wurden ebenfalls 09/2018 durchgeführt- das Fahrzeug ist TÜV bereit, allerdings müsste der rechte Schweller neu geschweißt werden (siehe Bilder)Das Fahrzeug befindet sich in einem technisch optimalen Zustand und kann jeder Zeit probegefahren werden.Für weitere Fragen können Sie mich gerne kontaktieren.","86559Bayern-Adelzhausen"
"28","1177337369","Kleinwagen","6.100€","63.800","2010","08","82140","                    Hallo, ich verkaufe hier meinen VW Polo aufgrund Neuanschaffung.Der Wagen befindet sich einem dem alter entsprechend guten Zustand. Er wurde stets warm gefahren und regelmäßig gewartet.Letzter Öl service: 06.2018Bremsflüssigkeit: 04.2018Neue Bremsbeläge und Scheiben vorn und hinten 03.2018Neue Federn vorne und hinten 04.2018Neue Sommer und Winterreifen 04 2018Alle Rechnungen zum Fahrzeug sind vorhanden.Leider hat der Vorbesitzer in einer Tiefgarage eine kleine Säule übersehen und einen Schaden hinten rechts (wie auf den Bildern zu sehen) verursacht. Dieser würde sich aber recht einfach reparieren lassen.Bei Interesse, melden sie sich bei mir bitte per Email oder Telefon.","82140Bayern-Olching"
"29","1177377554","Kleinwagen","650€","229.800","2000","12","80339","                    Preis: 650,00,-€VW Polo: Open Air DachBaujahr: 2000Erstzulassung: 05/2000Kilometerstand: ca. 229.800Kraftstoffart: BenzinLeistung: 37 KW 50 PSHubraum: 999Kraftstoffverbrauch: 5,9l /100Außerorts: 4,7l /100Umweltplakette: 4Außenfarbe: Metallic-SchwarzInnenausstattung: Stoff/schwarzAnzahl Türen: 3 /Sitzplätze 5Getriebeart: Schaltgetriebe2. HandAbgemeldet seit Nov. 2018Neue Auto Batterie mit 3 Jahren Garantie.Elektr. Sonnendach!Airbag Fahrer & BeifahrerReines Garagenfahrzeug (der Lack ist sehr gut erhalten).TÜV: 12/19Allwetterbereifung (vorne 2 neue) 155/70R 1375 SNichtraucherfahrzeugNeue Windschutzscheibe & Scheibenwischer (Juli 2018)Stoßdämpfer, EnttopfSchwingungsdämpfer 1. & 2. Achse erneuertMängel:Roststelle, vorne links siehe Bilder!Türknopf kann nur vom Beifahrer geöffnet/geschlossen werden.ABS: Hydraulikpumpe: Schwierigkeiten nur bei Schnee/EisDer ADAC hat sich das schon angesehen.Kleine Schrammen!Der Polo ist abgemeldet und wird ohne Nummernschilder übergeben.Keine Kompromisse möglich.Es handelt sich um einen PRIVAT Verkauf unter Ausschluss einer Garantie und Sachmangelhaftung.Eine Rücknahme ist nicht möglich!","80339München-Schwanthalerhöhe"
"30","1176174818","Kleinwagen","2.300€","211.000","2003","UnbeschädigtesFahrzeug","83022","                    aGutzuschtang einsetzen losfahren 8fach beraift015143385422","83022Bayern-Rosenheim"
"31","1175462433","Kleinwagen","1.500€","170.081","2003","04","80933","                    Motor läuft gutAuto eine Hagelschaden betroffen","80933München-Feldmoching"
"32","1148529151","Kleinwagen","2.200€","114.000","2002","09","85416","                    Auto ist einen Top Zustand für sein Alter.Übliche GebrauchspurenNEU 2019 gemacht:Ölwechsel & FilterBremsen KomplettKupplung NeuSämtliche MotordichtungenScheibenwischermotor vorne & hintenNeue WinterreifenAktueller KM 114.0008 Fach bereift Alu & Stahlfelgen OriginalFahrzeug bekommt bei Kauf neuen TÜV auf Wunsch.Das Fahrzeug wird derzeit noch gefahren.","85416Bayern-Langenbach"
"33","1177054081","Motorschaden","200€","999.999","2000",NA,"82515","                    Zu verkauf steht ein Fiat Punto mit Motorschaden.Fahrzeug nicht fahrbereit.Desweiteren wird ein VW Polo verkauft, dieser hat einen Servolenkungs schaden.Fahrzeug jedoch nicht fahrbereit wegen langer Standzeit.Abzugeben als Ersatzteilträger oder Export","82515Bayern-Wolfratshausen"
"34","1175736715","Kleinwagen","6.690€","78.000","2011","UnbeschädigtesFahrzeug","Th.-T","                    aus 2. Handletzte Inspektion 6/18 incl. neuer Bremsen vorne4/19 neuer Auspuff6/19 neue Batteriegepflegtes Nichtraucherfahrzeug8 fach bereift","Th.-Th.-Heine-Str.10,86911Bayern-Dießen"
"40","1176302397","Kleinwagen","2.450€","111.547","2009","UnbeschädigtesFahrzeug","83052","                    Ich verkaufe meinen alten Polo weil ich ein neues Firmenauto bekommen habe.111. 547 km 64 PS 1.2 Benzin MotorDas Auto hat noch TÜV bis Mai 2020.Ölwechsel wurde frisch durchgeführtSommerreifen auf LeichtmetallfelgenRadio JVC mit CD und SD Karte inklusive FreisprecheinrichtungDas Auto fährt einwandfrei, Heizung und Klimaanlage funktionieren auch tadellos.Der Lack ist OK und dem Alter von 10 Jahren entsprechend.Baujahr 2004-2006EZ erfolgte erst 03/2009 da das Auto aus einem Insolvenzverfahren stammtKommen wir zu den Mängeln:-Nur ein Teil der Rücksitzbank kann umgelegt werden.- Becherhalter auf der Beifahrerseite ist defekt, kann man aber auch drauf verzichten da in der Mittelkonsole auch noch 2 Getränkehalter sind.- Spannungsrisse der Kunststoffverkleidung siehe Bilder-Abgaswarnleuchte leuchtet, daraufhin wurde die Abgasanlage ab Kat sowie alle Zündspulen gewechselt. Fehler besteht weiterhin. Aber das Auto fährt seit über 10.000 km ohne Probleme und AuffälligkeitenDas Fahrzeug wird unter Ausschluss jeglicher Haftung für Sachmängel verkauft. Der Haftungsausschluss für Sachmängel gilt nicht für Schadensersatzansprüche, die auf eine vorsätzliche oder grob fahrlässige Verletzung von Pflichten des Verkäufers oder dessen Erfüllungsgehilfen beruhen sowie für Ansprüche aus der Verletzung von Leben, Körper oder Gesundheit.","83052Bayern-Bruckmühl"
"42","1157756437","Diesel","6.500€","105.334","2013","02","80687","                    hier verkaufe ich meinen poloscheckheftgepflegt letzte Inspektion beim 88000 km in einem sehr guten ZustandTÜV bis 02.2020sehr sparsam ca 4.5 Liter VerbrauchEin Tausch wäre eventuell möglich gegen ein Fahrzeug einer ähnlichen Preisklasse mit 5türig.","80687München-Laim"
"46","1175952367","Kleinwagen","1.150€","116","2000","UnbeschädigtesFahrzeug","Macht","                    Schöner Vw Polo absolut Rostfrei.Vier TürigFunk Zentralveriegelung. Zwei SchlüsselElektronisch FensterheberKlimaservice neuNeue BatterieNeue BremsflüssigkeitNeue Bremsen vorne und hintenNeue Auspuffanlage komplettNeuer Zahnriemen mit WasserpumpeNeue Zündkerzen und ZündkabelNeuer ÖlwechselNeuer LuftfiltetJVC Radio mit USB Und FreisprecheinrichtungTÜV Neu ohne MängelSehr sparsam im Benzinverbrauch!!!!","MachtlfingerStr,81379Sendling-Obersendling"
"74","1178406352","Limousine","8.600€","6.800","2016","UnbeschädigtesFahrzeug","81545","                    Unfallfrei, Topzustand, Scheckheftgepflegt, Nichtraucherfahrzeug, HU/AU (TÜV) neuKomfortsitze, City-Modus, Berg-Anfahr-Assistent, Bordcomputer, Komfort-Paket 2, Lederlenkrad, Lenkradheizung etc.","81545München-Untergiesing-Harlaching"
"75","1178395067","Kleinwagen","1.849€","170.000","2008","UnbeschädigtesFahrzeug","85368","                    Verkaufe hiermit einen wunderschönen Opel Corsa DDas Fahrzeug ist technisch im einwandfreien Zustand und besitzt eine tolle Ausstattung• TEILLEDER• 8 Fach Bereift• Tempomat• Bordcomputer• Klimaanlage funktioniert aber leider nicht !• Rost• TÜV 11/20 !• Nebelscheinwerfer• uvmBei weiteren Fragen stehe ich Ihnen gerne jederzeit vor Ort oder Telefonisch zu Verfügung","85368Bayern-Moosburga.d.Isar"
"76","1178384380","Kleinwagen","300€","108.000","1998","UnbeschädigtesFahrzeug","85635","                    Leider muß ich mich von meinem Corsa trennen.Das Auto ist gut gepflegt und schön zu fahren.","85635Kr.München-Höhenkirchen-Siegertsbrunn"
"77","1178364716","Kleinwagen","1.800€","26.400","2004","BeschädigtesFahrzeug","Hilde","                    Rentnerfahrzeug, TÜV ohne Mängel, Sommer und Winterbereifung, Original 26400 Km,Opeldachständer,funktionierende Klimaanlage, lückenloses Scheckheft !","Hildegardstr.10,82131Bayern-Gauting"
"78","1178346865","Kleinwagen","1.990€","209.000","2007","UnbeschädigtesFahrzeug","Boden","                    Sonderausstattung:Audiosystem CD 30 (Radio/CD-Player), Gepäck-/Laderaumboden höhenverstellbar, Reserverad in FahrbereifungWeitere Ausstattung:Airbag Beifahrerseite abschaltbar, Airbag Fahrer-/Beifahrerseite, Außenspiegel elektr. verstellbar, Bremsassistent, Bremsscheiben vorn innenbelüftet, Drehzahlmesser, Edition, Elektr. Bremskraftverteilung (EBD), Geschw.-Überwachung, Griffleiste Heckklappe Wagenfarbe, Isofix-Aufnahmen für Kindersitz an Rücksitz, Karosserie: 3-türig, Kopf-Airbag-System, Lenksäule (Lenkrad) verstellbar, Motor 1,2 Ltr. - 59 kW 16V KAT (Z 12 XEP / LB4), Nebelschlussleuchte, Pollenfilter, Rücksitzlehne geteilt, Rücksitzlehne klappbar, Seitenairbag vorn, Sitz vorn links höhenverstellbar, Sitzbezug / Polsterung: Stoff, Stahlfelgen 6x15, Stoßfänger Wagenfarbe, Verglasung getöntKleinwagenGebrauchtfahrzeugHubraum: 1229 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: --HU: 9/2020Farbe: Rot MetallicFarbe (Hersteller): Magma Rot (B)Innenausstattung: --Farbe der Innenausstattung: --Airbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --AusstattungABS, CD-Spieler, Elektr. Fensterheber, Elektr. Seitenspiegel, Isofix, Nichtraucher-Fahrzeug, Scheckheftgepflegt, Servolenkung, ZentralverriegelungWeitere Informationen bei","BodenseeStr.149,81243München-Aubing"
"79","1178228572","Kleinwagen","1.950€","148.000","2008","BeschädigtesFahrzeug","80339","                    KleinwagenGebrauchtfahrzeugBeschädigtHubraum: 998 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: --HU: 8/2019Farbe: --Farbe (Hersteller): --Innenausstattung: --Farbe der Innenausstattung: --Airbags: --Anhängerkupplung: --Radio: Tuner/RadioAusstattungABS, CD-Spieler, Elektr. Fensterheber, Isofix, Servolenkung, Tuner/Radio, ZentralverriegelungDer Preis ist Verhandlungsbasis.PrivatanbieterTomic Aleksandar80339 MünchenDeutschlandTel.: +49 089 1607526850Weitere Informationen bei","80339München-Schwanthalerhöhe"
"82","1178193225","Kleinwagen","600€","225.000","2005","03","Konra","                    Verkaufe meinen Corsa C mit LPG. Optisch dem Alterenentsprechende Mängel fur den Tüv gemacht werden müsste Airbaglampe leuchtet und Lambdasonde muss gewechselt werden passend habe ich bereits vorliegen.","Konrad-Adenauer-Str.41,82256Bayern-Fürstenfeldbruck"
"83","1178155571","Kleinwagen","950€","174.000","2001","UnbeschädigtesFahrzeug","86438","                    VERKAUFE OPEL CORSA C AUS 2 HAND VOLL FAHRBEREIT MIT TÜV BIS 05.2021 SEHR SAUBER UND SPARSAM KEIN ROST MIT LEICHTE GEBRAUCHT SPURE GARAGEN WAGEN ABS SERVO ABGEMELDET","86438Bayern-Kissing"
"84","1178102446","Kleinwagen","1.790€","55.600","1990","UnbeschädigtesFahrzeug","82256","                    Das Fahrzeug ist für sein Alter in einem guten Zustand, Seitenteil hinten rechts und Kotflügel vorne sind neu, sonst Originallack.Große Inspektion mit Zündkerzen, Luftfilter, Kraftstofffilter, Ölfilter und Bremsflüssigkeit wurde 07/19 duchgeführt. Zahnriemen, Wasserpumpe und Thermostat wurde erneuert. Bremsscheiben und Klötze vorne ebenfalls.Technisch ist das Fahrzeug sehr gut, Karrosserie gute Basis für das H-Kennzeichen nächstes Jahr.8-fach bereift.Investiert wurden in das Fahrzeug dieses Jahr gesamt circa 2900,-Das Fahrzeug ist kein Neuwagen sondern bereits 29 Jahre alt, dies bitte nicht vergessen.Anfragen bitte nur telefonisch unter: 08141/26036, täglich von 19:30-22:00.KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1195 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 2HU: 7/2021Farbe: RotFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: BeigeAirbags: --Anhängerkupplung: --Radio: Tuner/RadioPannenhilfe: ReserveradAusstattungCD-Spieler, Leichtmetallfelgen, Nichtraucher-Fahrzeug, Sommerreifen, WinterreifenDer Preis ist Verhandlungsbasis.Privatanbieter82256 FürstenfeldbruckDeutschlandTel.: +49 8141 26036Weitere Informationen bei","82256Bayern-Fürstenfeldbruck"
"85","1178102080","Kleinwagen","1.450€","132.000","2006","UnbeschädigtesFahrzeug","85368","                    Opel Corsa C Top ZustandTÜV BIS Dezember auf Wünsche kann ErneuertScheckheftgegflegt immer bei Opel8 Fachbereift Sommer und WinterreifenEuro 4Keine MängelKeine RostSehr SparsamGünstiger SteuerGarage AutoDas Auto ist immer noch Angemeldet und eine Probefahren ist möglich","85368Bayern-Moosburga.d.Isar"
"86","1178101719","Kleinwagen","2.490€","100.000","2006","UnbeschädigtesFahrzeug","81829","                    Verkauft wird ein Opel Corsa aus 1. Hd mit original 100.000 km. Der Tüv/AU ist NEU,Kundendienst mit Ölwechsel NEU, beim Tüv wurde die Achse bemängelt, die wurde jetzt ausgewechselt und ist komplett NEU. Der Wagen fährt wunderbar und ist Mängelfrei. Sie müssen nichts machen, einfach einsteigen und losfahren. Der Opel ist innen sehr gepflegt, außen altersentsprechend und an 3-4 Stellen blättert der Klarlack ab. Wer aber ein sehr zuverlässiges, technisch einwandfreies Auto will, ist hier genau richtig. Ausstattung TOP: Standheizung Webasto, Klimaanlage, elektrische Fensterheber, ZV mit Funk (2 Schlüssel) usw..Bei fragen können Sie sich gerne melden...KleinwagenGebrauchtfahrzeugHubraum: 1229 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: --Anzahl der Fahrzeughalter: 1HU: 8/2021Farbe: GrauFarbe (Hersteller): --Innenausstattung: --Farbe der Innenausstattung: --Airbags: Front- und Seiten-AirbagsAnhängerkupplung: --Radio: Tuner/Radio, Radio DABPannenhilfe: ReserveradAusstattungABS, Beheizbare Frontscheibe, CD-Spieler, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Isofix, Multifunktionslenkrad, Nebelscheinwerfer, Scheckheftgepflegt, Servolenkung, Standheizung, USB, ZentralverriegelungDer Preis ist Verhandlungsbasis.Privatanbieter81829 MünchenDeutschlandTel.: +49 0163 9065047Weitere Informationen bei","81829München-Trudering-Riem"
