,id,model,price,kilometer,registration_date,condition,zip_code,text,place
24,1176923268,Kleinwagen,280 €,168.74,2001,4(Grün),stadl,                    Verkaufe VW Polo 6n2Motor ist trocken und läuft saubeGetriebe lässt sich sauber schaltenInnenausstattung in guten zusatandAlufelgen sind bei bedarf noch da (gegen aufpreis)Winterreifen in guten zustand auf StahlfelgenRadio mit freisprecheinrichtung und Usb anschlussFahrzeug hat ein paar roststellen (auch Durchrostungen) auf denn bildern zusehenTüv ist 12.18 abgelaufenBei weiteren fragen einfach melden.,"stadl20,94065Bayern-Waldkirchen"
25,1176856482,Kleinwagen,5.90 €,131,2006,UnbeschädigtesFahrzeug,94496,"                    Hallo verkaufe hier das Auto von meiner Freundin, dass immer Regelmäßig gewartet und gepflegt worden ist und in einem guten Zustand ist.Das Auto ist noch angemeldet daher können sich die Km noch minimal ändern aber dafür ist eine Probefahrt möglich. Tüv könnten wir wenn erwünscht noch neu machen.Bei Fragen bitte unter dieser Nummer +49 171 2307974 melden",94496Bayern-Ortenburg
26,1176668064,Kleinwagen,800 €,155.02,2000,8,Schwa,"                    Biete hier meinen VW Polo mit 50ps an, es ist ein prima Fahranfänger Auto mit dem man nix falsch machen kann, er hat die eine oder andere roststelle aber nix schlimmes. Die gänge schalten sauber. Er hat vor kurzem einen neuen Auspuff und neue Bremsscheiben sowie Bremsklötze bekommen.","Schwarzweg2,94518Bayern-Spiegelau"
28,1176492146,Kleinwagen,1.90 €,132,2001,7,94234,"                    Biete VW Polo 6N2 mit neuem TÜVEs wurden vor kurzem neue Schweller eingeschweißt,Bremsen vorne komplett neu,Lenkkopflager erneuert.Der Zahnriemen wurde letztes Jahr getauscht.Das Auto ist aus erster Hand.An der rechten Seite ist minimaler RostansatzFragen bitte über WhatsApp.",94234Bayern-Viechtach
29,1176415764,Kleinwagen,500 €,123,1995,2,94078,                    Zu verkaufen steht ein vw polo 6n mit 60 PS mit 123000 km tüf bis 02.2020 leider ohne servo und die Frontscheibe hat einen Sprung zum ausschlachten oder herrichten. Der polo ist sofort fahrbereit,94078Bayern-Freyung
32,1176101935,Kleinwagen,1.75 €,125.6,2001,8,93413,"                    VW Polo 1,4 „ Sondermodell Edition „- 2.Hand- guter, gepflegter Originalzustand- TÜV neu- Kundendienst neu- Bremse neu- el. Faltverdeck- fährt sehr gut, ohne Reparaturstau- kein Tausch oder RatenzahlungPrivatverkauf = keine Gewährleistung oder RücknahmeNix was is letzte Preis!",93413Bayern-Cham
34,1175897203,Kleinwagen,1.50 €,179,2004,UnbeschädigtesFahrzeug,94104,"                    Verkaufe meinen treuen VW Polo wegen Neuanschaffung. Bremsen wurden vor kurzem erneuert.Der Motor lief bis jetzt immer einwandfrei auch im Winter gab es nie Probleme.Das Auto hat eine Anhängekupplung, ist 8 Fach bereift, und ist ein Garagenfahrzeug.Er hat altersbedingt ein paar kleinere Roststellen außerdem wurde an der Fahrertür das Schloss getauscht.Ansonsten ist er in gutem Zustand.Der Preis ist verhandelbar dennoch gebe ich das Auto nicht unter Wert her!!!Ideal als Anfänger oder Winterfahrzeug!!!",94104Bayern-Tittling
37,1175863853,Benzin,1.30 €,186,2004,8,94124,                    Vw Polo 9n zu verkaufen- 5-Türer- Tüv bis August 2020- Motor und Getriebe einwandfrei- Bremsen i.O- Steuerkette vor kurzem gemacht- Winterreifen mit gutem Profil- Dellen und Kratzer vorhanden- wenig Rost,94124Bayern-Büchlberg
39,1170543268,Kleinwagen,1.17 €,175,2000,UnbeschädigtesFahrzeug,94143,                    Polo 6N2 Fensterheber elektrisch Servo 5-Gang Alu bremsen hinten und vorne neu Auspuff neuwertig guter Zustand,94143Bayern-Grainet
40,1175712531,Limousine,9.50 €,42.3,2016,UnbeschädigtesFahrzeug,94545,"                    VW Polo 1.2 TSI Comfortline in sehr gutem und gepflegtem Zustand.1 Vorbesitzer, EU-Neuwagen.Jährliche professionelle Aufbereitung innen und außen,scheckheftgepflegt.Inklusive:Winterreifen auf Stahlfelgen und Radkappen Original VW 15'',Original VW Stoff-Fußmatten für den Sommer,Gummi-Fußmatten für den Winter,Gepäckraumschoner.AUSSTATTUNG:ArmlehneBerganfahrassistentEinparkhilfeEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelKlimaanlageMultifunktionslenkradStart/Stop-AutomatikTempomatBluetoothBordcomputerCDFreisprecheinrichtungRadioUSBAlufelgenWinterreifenABSBeifahrerairbagESPFahrerairbagIsofixKopfairbagReifendruckkontrollsystemSeitenairbagServolenkungTagfahrlichtTraktionskontrolleWegfahrsperreZentralverriegelung mit Funkfernbedienung",94545Bayern-Hohenau
41,1175484554,Kleinwagen,300 €,180,1999,4,94474,"                    Wahr mein winterauto, Radlager vorne links defekt, Kupplung funktioniert noch aber nicht mehr die beste!",94474Bayern-VilshofenanderDonau
45,1167471400,Kleinwagen,2.50 €,180.2,2005,UnbeschädigtesFahrzeug,84152,"                    Verkaufe sehr gepflegten VW Polo 9N3 schwarz 3 türig.Ausstattung :ABS, Servo, ZV mit Funk, elek. Fensterheber, elek. GSD,Letztes Jahr wurden erneuert:Kupplung neu, Radlager vorn, Steuerkette, Auspuff komplett, Kat, Bremsen, KlimaserviceDieses Jahr :Wasserpumpe, Lichtmaschine,Service neuKein Wartungsstau immer alles gleich instandgesetzt.Sommer auf Alu, Winterreifen auch dabei neuDem Alter entsprechende Gebrauchsspuren, natürlich kein Neuwagen mehr.Einfach reinsetzen und losfahren.Bei Fragen einfach melden 08733 938834.",84152Bayern-Mengkofen
48,1175136490,Kleinwagen,999 €,195,1999,UnbeschädigtesFahrzeug,94315,"                    Incl. 4 fast neuer Winterreifen auf Felgen,Bremsen hinten 11/18, Zahnriemen/Wasserpumpe gewechseltInnenausstattung weist Gebrauchsspuren auf.Privatverkauf, keine GarantieBei Interesse 0176 / 529 58 338",94315Bayern-Straubing
49,1175090078,Kleinwagen,4.20 €,182.5,2010,3,94315,"                    Volkswagen Polo 6R Mod. 20101.2 Benzin 60PS2. HandDas Fahrzeug befindet sich technisch und optisch im sehr guten Zustand.TÜV bis 03.2021ABS, EPC, ESP, Berganfahrassistent, Klimaanlage, CD-Spieler MP3, Bluetooth-Kit Parrot, 2x Elektr. Fensterheber, Elektr. Wegfahrsperre, Nichtraucher-Fahrzeug, Servolenkung, Tagfahrlicht, Traktionskontrolle, Zentralverriegelung, Isofix.Airbags: Front- und Seiten-Airbags. Bremsen hinten neu (ATE).Probefahrt möglich",94315Bayern-Straubing
55,1174644304,Kleinwagen,3.40 €,130.33,2005,UnbeschädigtesFahrzeug,84378,"                    Verkaufe wegen Neuanschaffung meinen VW Polo mit Sommer- und Winterreifen.Bremsbeläge und Scheiben vorne neu.Zahnriemen und Wasserpumpe wurden bei 115000 km beim Kundendienst erneuert.Die Plastik Front- und Heckstoßstangen haben Lackbeschädigungen.Das Auto ist für Probefahrten noch angemeldet.Privatverkauf, daher keine Garantie, Gewährleistung und Rücknahme.KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1390 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: --Anzahl der Fahrzeughalter: --HU: 12/2020Farbe: Silber MetallicFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: Front- und Seiten-AirbagsAnhängerkupplung: --Radio: Tuner/RadioAusstattungABS, Alarmanlage, Bordcomputer, CD-Spieler, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Gepäckraumabtrennung, Isofix, Leichtmetallfelgen, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Scheckheftgepflegt, Scheinwerferreinigung, Schlüssellose Zentralverriegelung, Servolenkung, Sitzheizung, Sommerreifen, Traktionskontrolle, Umklappbarer Beifahrersitz, Winterreifen, ZentralverriegelungDer Preis ist Verhandlungsbasis.Privatanbieter84378 DietersburgDeutschlandTel.: +49 0151 59152324Weitere Informationen bei",84378Bayern-Dietersburg
58,1174413132,Benzin,999 €,180,2002,Schwarz,94560,                    Trenne mich schweren Herzens von meiner treuen Seele .... Polo ist bereits abgemeldet .. TÜV bis September 2019... 8-Fach bereift ...Anmelden - einsteigen - losfahren,94560Bayern-Offenberg
61,1174046401,Limousine,500 €,243,1997,1,92439,                    Zu verkaufen ist ein VW Polo.TÜV bis Januar 2020.Bei Interesse bitte anrufen.01783229747,92439Bayern-Bodenwöhr
64,1173886435,Kleinwagen,2.00 €,185.729,2006,UnbeschädigtesFahrzeug,Kirch,"                    Hallo!Meine kleine Auto ist verkaufen. Das Auto funktioniert ohne Probleme. Ich muss verkaufen, weil leider es ist schon zu klein für unsere Familie. Das Auto ist ein unbeschädigtes Fahrzeug, aber leider aussen hat paar kleine menge ( siehe fotos ). Das Auto läuft ruhig, eiwandfrei! :)Preis ist VB Preis!!!","Kirchplatz10,94124Bayern-Büchlberg"
65,1173884952,Kleinwagen,6.30 €,128,2010,UnbeschädigtesFahrzeug,94362,                    Sehr gepflegter VW Polo Team mit Sonderausstattung. Aus 2. Hand. Unfallfrei. Sportsitze. Reifen 80%.,94362Bayern-Neukirchen
66,1173557502,Kleinwagen,1.00 €,132,2004,7,94474,"                    Das ist ein gebrauchtes Auto Silber wurdevin vorbesitzer schwarz foliert. Zustand OK. Für den TÜV muss eigenes gemacht werden, wie Trommel Remsen und Scheiben, Klima funktioniert seit letzten Monat nicht mehr (Füllung). Auto wird verkauft wegen Nachwuchs mit 2 Kinder ist das Auto bissel zu klein. Ansonsten fährt einwandfrei.",94474Bayern-VilshofenanderDonau
68,1173140790,Kleinwagen,500 €,200,1999,UnbeschädigtesFahrzeug,Wolfs,                    VW Polo 6Nan Bastler abzugeben.,"Wolfsweg12,94315Bayern-Straubing"
70,1138042914,Kleinwagen,999 €,192,2002,UnbeschädigtesFahrzeug,84332,"                    Neu reifen allwetter , privat verkauf keine garantie oder ruchname",84332Bayern-Hebertsfelden
71,1147858040,Kleinwagen,3.75 €,168,2010,6,94336,                    Vw polo 1.2 Tdi bluemotionStart stopKlimaSitzheizungTagfahrlichtEletr. FensterheberRadio cdSommerreifen auf org. AlufelgenWinterreifen auf stahlfelgenScheckheft geplegtTÜV NEU !!Technisch top !Optisch alter und laufleistung entsprechendSparsamer flitzer,94336Bayern-Hunderdorf
72,1140921372,Benzin,600 €,136,2000,6,94060,"                    Verkaufe wegen Neuanschaffung VW Polo. Dabei sind eine Anhängerkupplung und 4 Sommerreifen auf Felgen. Aktuell hat er Winterreifen drauf. Das Auto hat altersentsprechende Abnutzungserscheinungen, jedoch nur 136.000 Original Kilometer und kann sofort gefahren werden. Der TÜV ist fällig, Auspuffanlage muss wahrscheinlich erneuert werden. Zahnriemen wurde gewechselt, keine Klimaanlage",94060Bayern-Pocking
73,1162549630,Kleinwagen,1.20 €,163,2000,4,94508,                    Schöner Polo in gutem ZustandLäuft einwandfrei. Kaum Rost. Steht für das Alter super da.8-fach bereift. Gute Kenwood-Boxen verbaut.Einsteigen und losfahren!Neuer TüV im Frühjahr kein Problem.Privatverkauf ohne Gewährleistung,94508Bayern-Schöllnach
74,1151424887,Limousine,1.00 €,204.5,2000,UnbeschädigtesFahrzeug,94315,"                    Verkaufen vw Polo bj. 2000999cm , elektrische Fenster, CD,USB,AUX, micro SDAuto ist perfect für arbeit, preis ist vb.",94315Bayern-Straubing
75,1171158162,SUV/Geländewagen,4.30 €,98,2004,UnbeschädigtesFahrzeug,Ritte,"                    Schöner gepflegter VW Polo Cross Fun Limited el,fh el.sp. dachreling usw. Mehr nur vor Ort","Ritter-tuschlStr.17,94163Bayern-Saldenburg"
76,1164817227,Benzin,390 €,140,2002,NA,94327,"                    Hallo, biete hier einen VW Pool für bastler mit Klimaautomatik und Zentralverriegelung, Preis ist Verhandelbar.",94327Bayern-BogenNiederbay
77,1158570173,Kleinwagen,1.39 €,204,2004,UnbeschädigtesFahrzeug,93426,"                    Ich verkaufe mein VW Polo 9N.2004 Baujahr.TÜV 05.2021 Bei TÜV viele Ersatzteile gewechselt. Agr Ventil. Zahnriemen mit wasserpumpe, Öl und Filter, bremsen hinten komplett. Klima funktionieren. Tempomat...8 Fachbereich. Innen gepflegt. Außen nicht mehr schön.Auto ist abgemeldet. Keine Garantie. Privat Verkauf.",93426Bayern-Roding
78,1158224762,Kleinwagen,580 €,154,1996,1,Tepli,"                    Verkaufen unseren polo, wegen neu AnschaffungEr ist fahrbereit und 8 Fach bereiftIst angemeldet weil wir damit noch fahren.Er hat zwar nicht wirklich viel Ausstattung, aber er fährt gut und ist zuverlässig.","Teplitzerstraße26,84130Bayern-Dingolfing"
79,1178169893,Kleinwagen,5.25 €,92.5,2012,UnbeschädigtesFahrzeug,93482,"                    Fahrzeugzustand:	UnfallfreiKategorie:			KleinwagenKilometerstand:		ca. 92.500 kmHubraum:			1.398 cm³Leistung:			 64 kW (87 PS)Kraftstoffart:		 BenzinVerbrauch:			ca.<U+2009>5,7<U+2009>l/100km (kombiniert)ca.<U+2009>7,3<U+2009>l/100km (innerorts)ca.<U+2009>4,8<U+2009>l/100km (außerorts)CO2-Emissionen:		ca.<U+2009>134<U+2009>g/km (kombiniert)Anzahl Sitzplätze:	 5Anzahl der Türen:	 4/5Getriebe:			 SchaltgetriebeSchadstoffklasse:		Euro5Erstzulassung:		03/2012Anzahl derFahrzeughalter:		1HU:				 04/2021Klimatisierung:		KlimaanlageAirbags:			 Front- und Seiten-AirbagsFarbe:			 Braun MetallicInnenausstattung:	 Teilleder, GrauAusstattung:ABSBeheizbares LenkradBordcomputerCD-SpielerElektr. FensterheberElektr. SeitenspiegelESPIsofixLederlenkradLeichtmetallfelgenMP3-SchnittstelleMultifunktionslenkradNebelscheinwerferNichtraucher-FahrzeugRaucherpaketReserveradScheckheftgepflegtServolenkungSitzheizungTagfahrlichtTempomatTraktionskontrolleTuner/RadioWinterreifenZentralverriegelungAb sofort abzugeben",93482Bayern-Pemfling
80,1178008301,Kleinwagen,6.60 €,39.6,2014,UnbeschädigtesFahrzeug,94333,"                    Fahrzeug soll verkauft werden, da es als Drittwagen zu wenig genutzt wird. Das Fahrzeug ist angemeldet und kann jederzeit Probe gefahren werden.Gepflegt, guter Allgemeinzustand, Innenraum sehr gut,wenig km,Tempomat,vollwertiges Reserverad mit Wagenheber,Nebelscheinwerfer, Teilleder, ISOfix,letzter Kundendienst bei 31000km, Scheckheft mit Servicerechnungen vorhanden, HU u. ASU neu ohne Mängel, 8-fach bereift auf LM-Felgen,Profiltiefe 5-6mm,Reifendruckkontrolsystem,Lichtabschaltautomatik,AUXin, Nichtraucherfahrzeug",94333Bayern-Geiselhöring
85,1177918681,Benzin,1.75 €,2005,8,NA,84152,                    Rostfrei! Guter technischer Zustand.,84152Bayern-Mengkofen
86,1177905790,Limousine,10.94 €,16.876,2018,UnbeschädigtesFahrzeug,Neubu,"                    Sonderausstattung:- Fußmatten Velours- Sonnenblende / Sonnenblenden mit SpiegelSerienausstattung:- Airbag Beifahrerseite abschaltbar- Airbag Fahrer-/Beifahrerseite- Anti-Blockier-System (ABS)- Audiosystem CD 3.0 BT (Radio/CD-Player / Bluetooth)- Außenspiegel elektr. verstellbar- Bordcomputer- Bremsassistent- Bremsscheiben vorn innenbelüftet- Drehzahlmesser- Elektron. Stabilitäts-Programm Plus (ESP)- Elektron. Traktionskontrolle- Fahrassistenz-System: Berganfahr-Assistent (HSA, Hill Start Assist)- Fensterheber elektrisch vorn- Geschw.-Überwachung- Getriebe 5-Gang- Griffleiste Heckklappe Wagenfarbe- Isofix-Aufnahmen für Kindersitz an Rücksitz- Karosserie: 5-türig- Klimaanlage- Kopf-Airbag-System- Lenksäule (Lenkrad) verstellbar- Motor 1,4 Ltr. - 66 kW- Nebelschlussleuchte- Pollenfilter- Reifen-Reparaturkit- Reifendruck-Kontrollsystem- Rücksitz geteilt / klappbar- Schadstoffarm nach Abgasnorm Euro 6d-TEMP- Seitenairbag vorn- Servolenkung geschwindigkeitsabhängig- Sitz vorn links höhenverstellbar- Sitzbezug / Polsterung: Stoff- Stahlfelgen 6x15- Stoßfänger Wagenfarbe- Tagfahrlicht- Türgriffe außen Wagenfarbe- Verglasung getönt- Zentralverriegelung mit FernbedienungÄnderungen, Irrtümer und Zwischenverkauf für dieses Angebot sind ausdrücklich vorbehalten.Trotz sorgfältiger Prüfung aller Ausstattungsdetails kann es auch zu fehlerhafter Darstellung kommen. Wir können daher keine Haftung für die Richtigkeit der Ausstattungsdetails und der Fahrzeugbeschreibung übernehmen. Die Fahrzeugbeschreibung dient lediglich der allgemeinen Identifizierung des Fahrzeuges und stellt keine Gewährleistung im kaufrechtlichen Sinne dar. Ausschlaggebend sind einzig und allein die Vereinbarungen im Kaufvertrag. Die genauen Ausstattungsdetails erhalten Sie von unseren Verkaufsberatern.INKLUSIVE HOFBAUER-PREMIUM-PAKET- 7 Jahre Garantie (=2 Jahre Herstellergarantie ab Tag der Erstzulassung + kostenlos bis zu 5 Jahre Garantie gemäß unseren Garantiebedingungen)- 4 kostenlose Inspektionen gemäß Herstellervorgaben (zzgl. Material und Zusatzarbeiten)- 12 Monate Mobilitätsgarantie gratis- HOFBAUER VIP APP gratis- Weitere Informationen erhalten Sie von unseren VerkaufsberaternGerne können Sie Ihr Traumfahrzeug auch Leasen oder Finanzieren, natürlich auch ohne Anzahlung - Fragen Sie uns einfach!Wir sind OPEL-Vertragshändler seit 1921 und bieten Ihnen den besten Service sowie Beratung zu allen Fragen rund um Ihr Traumfahrzeug. Weitere Fahrzeuge finden Sie auf unserer Website unter www.automobile-hofbauer.deLimousineGebrauchtfahrzeugHubraum: 1398 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro6d-TEMPUmweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: 6/2021Farbe: WeißFarbe (Hersteller): Schnee WeißInnenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --AusstattungABS, Bluetooth, Bordcomputer, CD-Spieler, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Garantie, Isofix, Multifunktionslenkrad, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Scheckheftgepflegt, Servolenkung, Traktionskontrolle, ZentralverriegelungWeitere Informationen bei","NeuburgerStrasse143,94036Kr.Passau-Passau"
87,1177835035,Kleinwagen,400 €,100.353,1997,3,94209,"                    Biete hier ein Winter- oder Bastlerfahrzeug. Er fährt momentan nicht, springt allerdings an. Leider nur mit sehr lauten Quietschen vom Keilriemen. Steht nun schon paar Monate, deswegen sind die Bremsen nicht mehr gut und müssten gewechselt werden.. Auch der Lack am Dach ist nicht mehr gut, War aber von Anfang an und hat uns nie gestört. Das Thermostat ist kaputt, neues liegt aber im Auto. Derzeit noch angemeldet. Der Corsa steht auf Guten Winterreifen. Das Auto wird wegen den Bremsen nicht mehr bewegt und ausdrücklich als Bastler Fahrzeug verkauft. Sollte mit trailer geholt werden.. Da privat Verkauf keine Garantie oder Gewährleistung. Preis ist wie gesagt vb und man kann gern vor Ort verhandeln.",94209Bayern-Regen
90,1177763718,Kleinwagen,1.20 €,65,2000,12,94099,"                    Opel corsa , 1.2 16 v.Tuv 12 2020 65000 KM !!!!!!!!!!!!!!",94099Bayern-RuhstorfanderRott
92,1177731655,Kleinwagen,3.20 €,117,2011,3,94327,                    Biete schönen zuverlässigen Opel CorsaBremsen komplett neu!Aux AnschlussPreisverhandlung möglich aber bitte erst bei Besichtigung!Ideales Anfängerfahrzeug!!,94327Bayern-BogenNiederbay
94,1177602490,Kleinwagen,200 €,126.5,1992,12,94209,                    Opel Corsa B mit TÜV bis DezemberAuto fährt und lenktKeine Schönheit aber günstiges Auto mit 5 Monaten TüvAuto stammt aus Nachlass,94209Bayern-Regen
95,1165436739,Kleinwagen,600 €,155.059,2002,9,94315,"                    FAHRZEUG STEHT IN LOHAM( MARIAPOSCHING)Verkaufe hier meinen Corsa. Das Auto läuft gut. 2018 wurde der Sensor für den Tacho erneuert und der Auspuff gemacht. Zustand ist dem alter entsprechend . Aufgrund des Alters des Wagens sind folgende arbeiten zu machen damit er wieder tüv bekommt : Schweißarbeiten an den seiten des Unterbodens, Hinterachse Bremse, gasfeder für den Kofferraum( nicht für tüv nötig) und eine neue Feder Vorne links. Da ich die Sachen nicht selber machen kann verkaufe ich ihn als Bastler oder Export Fahrzeug. Zum Auto gehören noch Sommer-Reifen (Neu)auf Alufelgen (Original Opel). Und Winterreifen auf Stahlfelgen. Der wagen ist abgemeldet",94315Bayern-Straubing
96,1177458183,Kleinwagen,4.20 €,91,2008,UnbeschädigtesFahrzeug,94544,"                    Kfz. ist in einen tech. guten Zustand,ein Vorbesitzer.Batterie, Bereifung, sind neuwertig;Kfz. ist angemeldet und kann Probe gefahren werden.Preis ist verhandelbar,",94544Bayern-Hofkirchen
98,1177126455,Benzin,700 €,106,2001,2020,Tresd,                    Hallo zusammen Ich biete einen gut erhaltenden und sehr gepflegten Opel Corsa c Baujahr 2001 mit nur 106000. Tüv ist bis Juni 2020.Das Auto ist 8 fach bereift. Winter und Sommerreifen neu. Ein Radio mit grossen Bildschirm mit CD und USB Funktion ist eingebaut. Für sein Alter altersbedingte schönheitsflecken. Fährt aber richtig gut. Auf Vorderachse werden noch bremsen getauscht. Die beläge sind bereits im kofferraum. Derzeit steht das Auto bei meinem Vater in passau kann jedoch auch zu mir nach tittling wenn gewünscht überführt werden. Der Opel ist angemeldet kann also auch gefahren werden. Wäre ein ideales winterauto oder für fahranfänger oder ähnliches. Preis ist vb. Weitere Bilder kommen noch dazu. Wird noch gewaschen und gesaugt,"Tresdorf3a,94104Bayern-Tittling"
99,1177025532,Limousine,400 €,157,2002,8,Hütte,                    Fahrzeug läuft nur auf 3 Zylinder Verdacht auf Motorschaden015150630959,"Hütten,94121Bayern-Salzweg"
101,1164634043,Kleinwagen,1.75 €,167.5,2007,UnbeschädigtesFahrzeug,indus,"                    Opel Corsa D 1.2 16v4 Zylinder(80ps)klimaanlagewinter,sommer ReifenInnen Gute Zustandaussen Kleine KratzeFast kein rosst!!Klimagas muss Füllen!vorne Links in Stossstange Kleine Parkschaden.Sonst funktioniert einwandfrei.Ewentuel tausch für Vollcross!(Suzuki rmz, Kawasaki kfx, Honda crz)oder Autotransportanhänger.","industriestr.5,94347Bayern-Ascha"
102,1176853653,Kleinwagen,1.90 €,123.72,2005,UnbeschädigtesFahrzeug,93426,                    Verkaufe meinen OPEL Corsa Cdiente bislang als Zweitfahrzeug zu meinem Cabrio und wird nun nicht mehr benötigt.Das Fahrzeug ist technisch in einem einwandfreiem Zustand. Optisch sind kleinere Mängel vorhanden.Ideal als Zweitfahrzeug oder für Fahranfänger!Anzahl Besitzer: 3Ich selbst fahre das Fahrzeug seit 2012.Bereifung: WinterreifenDie Beschreibung entnehmen Sie bitte den Bildern.Ich bin ab 19 Uhr erreichbar.,93426Bayern-Roding
